FUND,ACCOUNT,LOAD_DATE,LOAD_TIME,B_TO_A_ROLL_LAST_ZERO_BALANCE,CLOSE_TFR_529_OMB,FIRST_PURCH_AMT,INITIAL_INVESTMENT,LASTMAINT,LASTMAINT_OPID,LASTMAINT_TIME,PAY_TO_PLAY,PURCHASED_THROUGH_MF_SHARES,SUPPRESS_ACU_INVESTMENT_HST,SUPPRESS_PROSPECTUS
2011,37225439672,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2014-08-06,HARJCS  ,17:25:37,I,0.0,N,N
2010,78168939497,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2223,25532124514,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2412,15416963533,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2511,73867369570,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2012,53826530680,2019-10-19,00:02:11,0001-01-01,N,0.0,0001-01-01,2019-10-18,HARFAB  ,12:06:53,I,0.0,N,N
2512,65916118900,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2511,40459964594,2019-10-19,00:02:11,0001-01-01,N,0.0,0001-01-01,2019-10-18,HARFAB  ,12:06:53,I,0.0,N,N
2511,78531477440,2019-10-19,00:02:11,0001-01-01,N,0.0,0001-01-01,2019-10-18,HARFAB  ,12:06:53,I,0.0,N,N
2512,66792953561,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,57435120454,2019-10-19,00:02:11,0001-01-01,N,0.0,0001-01-01,2019-10-18,HARFAB  ,12:06:53,I,0.0,N,N
2512,11257091419,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,36168028334,2019-10-19,00:02:11,0001-01-01,N,0.0,0001-01-01,2019-10-18,HARFAB  ,12:06:53,I,0.0,N,N
2512,52939164988,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,10754154638,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,77533806768,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,45659588625,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,16631565502,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,44663013663,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,51818772561,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2512,31037959267,2019-10-19,00:02:11,0001-01-01,N,0.0,0001-01-01,2019-10-18,HARFAB  ,12:06:53,I,0.0,N,N
2011,61504608150,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2011,12335960354,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2012,24810325845,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2012,41598494645,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2512,53203748196,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2513,41101825583,2018-09-13,22:58:14,0001-01-01,N,0.0,0001-01-01,2018-09-13,HARMHI  ,16:51:29,I,0.0,N,N
2015,69090176550,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2024,50983733652,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2411,56300185872,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2511,59079367660,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2511,66937886134,2019-11-07,22:38:17,0001-01-01,N,0.0,0001-01-01,2019-11-07,HARFAB  ,16:11:21,I,0.0,N,N
2011,30590284692,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2012,74518828225,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2012,21988726406,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2012,75979285628,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2012,16788262214,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2511,82000687693,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2511,44751653080,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2512,51704546479,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2512,52364832148,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2512,40602587167,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2514,28804683359,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2537,43917474733,2020-02-11,22:59:56,0001-01-01,N,0.0,0001-01-01,2020-02-11,HARFAB  ,15:08:04,I,0.0,N,N
2010,14866991772,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2010,11968813094,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2014-12-11,HARTPE  ,15:48:31,I,0.0,N,N
2011,48900922876,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,29676824619,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,24916078487,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2011-09-19,HARDBA  ,14:32:07,I,0.0,N,N
2011,32407550949,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,30379628967,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,15277756780,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,38710229716,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,77016039169,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,61980335204,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,35898063034,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,30266617521,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,16760090601,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,27109723415,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,55430397573,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,65260229458,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2011-09-19,HARDBA  ,14:32:07,I,0.0,N,N
2011,65166245967,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
2011,61398540688,0001-01-01,00:00:00,0001-01-01,N,0.0,0001-01-01,2013-01-09,HARGMC  ,12:40:18,I,0.0,N,N
